outcome,lead,att,se
v2x_polyarchy,0,-0.0017814849624060095,0.0029616528562229063
v2x_polyarchy,1,-0.006017402882205511,0.004213685089375436
v2x_polyarchy,2,-0.001621444235588978,0.006526050664420887
v2x_polyarchy,3,-0.011869548872180452,0.007399799721750307
v2x_polyarchy,4,-0.012051597744360897,0.008262650110554229
v2x_libdem,0,-0.001432007101086038,0.002425099611877645
v2x_libdem,1,-0.004366565719855188,0.004147581866364533
v2x_libdem,2,-0.001827781258702301,0.006811557594348521
v2x_libdem,3,-0.012798531049846828,0.007690959261581935
v2x_libdem,4,-0.016387057922584228,0.00891027669597007
