outcome,att_nv,att_v,se_nv,se_v,att_diff,se_diff,z_diff,p_diff,sign
spend_public_safety,2209.9816710936498,12797.487707167458,2657.9843313270726,7364.100236721743,-10587.506036073808,7829.102950023423,-1.3523268379095887,0.17627078257149728,backlash
spend_police,909.9095176154868,7055.401754706478,1076.074836468989,6381.78136691953,-6145.492237090991,6471.8676183033185,-0.9495701394927649,0.34233071712386365,backlash
spend_fire,-490.1668562763881,191.90066485201126,257.6446036333422,226.66335846254466,-682.0675211283993,343.1574272122083,-1.9876227848817893,0.04685342443549459,backlash
spend_corrections,1357.8782992858928,3448.6628988547545,1159.3130100805145,1570.2425886214844,-2090.7845995688617,1951.8371967104847,-1.0711880084530365,0.28408490235887535,backlash
spend_highways,-275.10971158064626,2247.524489654765,650.7792333783609,1179.502296595243,-2522.6342012354116,1347.1225921459338,-1.8726092309215274,0.06112236570957043,backlash
spend_health,10062.32465115452,15687.732162176882,7469.223355247407,10066.350863112819,-5625.407511022362,12534.780302417174,-0.4487838937183106,0.65358755854577,backlash
spend_welfare,4392.662272603778,7612.057868537015,4028.0502163454894,3627.535590983032,-3219.395595933237,5420.719787007032,-0.5939055554300801,0.552575283119094,backlash
spend_parks_rec,681.4812446368438,223.38900067249094,286.03696444901817,472.37496005603384,458.09224396435286,552.2275327427532,0.8295353215895307,0.40680155836244203,premium
spend_education,-1991.9338608383805,319.1723809972228,1886.7603335088122,1622.9552192925644,-2311.106241835603,2488.7443018380295,-0.9286234186970377,0.3530842809329854,backlash
mpv_killings,-0.12270437102673948,0.09840339820066014,0.06131665160336112,0.20858822095144275,-0.2211077692273996,0.21741383967801098,-1.0169903146683732,0.30915803689441373,backlash
