outcome,arm,att,se,n
spend_public_safety,nv,2209.9816710936498,2736.1659981898924,25
spend_public_safety,v,12797.487707167458,7350.2453054651305,25
spend_police,nv,909.9095176154868,1050.768367538438,25
spend_police,v,7055.401754706478,6554.251508829244,25
spend_fire,nv,-490.1668562763881,268.82674133629615,25
spend_fire,v,191.90066485201126,229.699282704862,25
spend_corrections,nv,1357.8782992858928,1188.5235695468446,25
spend_corrections,v,3448.6628988547545,1623.6216132539903,25
spend_highways,nv,-275.10971158064626,613.3462979137721,25
spend_highways,v,2247.524489654765,1187.5190020776527,25
spend_health,nv,10062.32465115452,7280.216480567597,25
spend_health,v,15687.732162176882,10054.570566138045,25
spend_welfare,nv,4392.662272603778,4185.973806744488,25
spend_welfare,v,7612.057868537015,3545.5984060177366,25
spend_parks_rec,nv,681.4812446368438,298.5377407439281,25
spend_parks_rec,v,223.38900067249094,511.9879589885306,25
spend_education,nv,-1991.9338608383805,1901.8322156458137,25
spend_education,v,319.1723809972228,1569.5308774098473,25
mpv_killings,nv,-0.12270437102673948,0.061565371204246926,36
mpv_killings,v,0.09840339820066014,0.20606494910073297,36
