violence_def,year,n_county_year,n_county_year_any,share_violent_nonzero,share_nonviolent_nonzero
noarrest,2017,2279,1036,0.02106186924089513,0.4537077665642826
noarrest,2018,2279,1525,0.01184730144800351,0.6691531373409391
noarrest,2019,2279,1081,0.007898200965335674,0.4743308468626591
noarrest,2020,2279,1647,0.10618692408951294,0.7204914436156209
noarrest,2021,2279,1352,0.03378674857393594,0.5932426502852128
noarrest,2022,2279,1449,0.03861342694164107,0.635366388767003
noarrest,2023,2279,1295,0.050021939447125935,0.5677928916191312
permissive,2017,2279,1036,0.05660377358490566,0.45239139973672665
permissive,2018,2279,1525,0.05704256252742431,0.6682755594559017
permissive,2019,2279,1081,0.04695041684949539,0.4730144800351031
permissive,2020,2279,1647,0.1518209741114524,0.7204914436156209
permissive,2021,2279,1352,0.06845107503290918,0.5914874945151383
permissive,2022,2279,1449,0.06143045195261079,0.635366388767003
permissive,2023,2279,1295,0.07898200965335674,0.5664765247915753
strict,2017,2279,1036,0.05704256252742431,0.45239139973672665
strict,2018,2279,1525,0.05704256252742431,0.6682755594559017
strict,2019,2279,1081,0.04695041684949539,0.4730144800351031
strict,2020,2279,1647,0.1570864414216762,0.7200526546731022
strict,2021,2279,1352,0.06888986397542782,0.5914874945151383
strict,2022,2279,1449,0.06230802983764809,0.635366388767003
strict,2023,2279,1295,0.07985958753839403,0.5664765247915753
