variable,class,n_na,pct_na,n_unique
id,numeric,0,0,17145
country,character,0,0,166
ccode,numeric,0,0,168
year,numeric,0,0,31
region,character,0,0,8
protest,numeric,0,0,2
protestnumber,numeric,0,0,144
startday,numeric,1906,11.12,32
startmonth,numeric,1906,11.12,13
startyear,numeric,1906,11.12,32
endday,numeric,1906,11.12,32
endmonth,numeric,1906,11.12,13
endyear,numeric,1906,11.12,32
protesterviolence,numeric,1387,8.09,3
location,character,1927,11.24,4401
participants_category,character,7258,42.33,7
participants,character,1399,8.16,770
protesteridentity,character,2461,14.35,5785
protesterdemand1,character,1907,11.12,8
protesterdemand2,character,14168,82.64,8
protesterdemand3,character,16762,97.77,8
protesterdemand4,character,16314,95.15,8
stateresponse1,character,1937,11.3,8
stateresponse2,character,14257,83.16,8
stateresponse3,character,16215,94.58,8
stateresponse4,character,16901,98.58,7
stateresponse5,character,16296,95.05,8
stateresponse6,character,17129,99.91,6
stateresponse7,character,16225,94.63,6
sources,character,1910,11.14,14123
notes,character,1952,11.39,13922
