  [1/120] strict | spend_public_safety | cutoff=0.75 | size_total | full
  [2/120] strict | spend_public_safety | cutoff=0.75 | size_total | drop_2020
  [3/120] strict | spend_police | cutoff=0.75 | size_total | full
  [4/120] strict | spend_police | cutoff=0.75 | size_total | drop_2020
  [5/120] strict | spend_welfare | cutoff=0.75 | size_total | full
  [6/120] strict | spend_welfare | cutoff=0.75 | size_total | drop_2020
  [7/120] strict | spend_education | cutoff=0.75 | size_total | full
  [8/120] strict | spend_education | cutoff=0.75 | size_total | drop_2020
  [9/120] strict | spend_highways | cutoff=0.75 | size_total | full
  [10/120] strict | spend_highways | cutoff=0.75 | size_total | drop_2020
  [11/120] strict | spend_public_safety | cutoff=0.75 | size_total_hi | full
  [12/120] strict | spend_public_safety | cutoff=0.75 | size_total_hi | drop_2020
  [13/120] strict | spend_police | cutoff=0.75 | size_total_hi | full
  [14/120] strict | spend_police | cutoff=0.75 | size_total_hi | drop_2020
  [15/120] strict | spend_welfare | cutoff=0.75 | size_total_hi | full
  [16/120] strict | spend_welfare | cutoff=0.75 | size_total_hi | drop_2020
  [17/120] strict | spend_education | cutoff=0.75 | size_total_hi | full
  [18/120] strict | spend_education | cutoff=0.75 | size_total_hi | drop_2020
  [19/120] strict | spend_highways | cutoff=0.75 | size_total_hi | full
  [20/120] strict | spend_highways | cutoff=0.75 | size_total_hi | drop_2020
  [21/120] strict | spend_public_safety | cutoff=0.90 | size_total | full
  [22/120] strict | spend_public_safety | cutoff=0.90 | size_total | drop_2020
  [23/120] strict | spend_police | cutoff=0.90 | size_total | full
  [24/120] strict | spend_police | cutoff=0.90 | size_total | drop_2020
  [25/120] strict | spend_welfare | cutoff=0.90 | size_total | full
  [26/120] strict | spend_welfare | cutoff=0.90 | size_total | drop_2020
  [27/120] strict | spend_education | cutoff=0.90 | size_total | full
  [28/120] strict | spend_education | cutoff=0.90 | size_total | drop_2020
  [29/120] strict | spend_highways | cutoff=0.90 | size_total | full
  [30/120] strict | spend_highways | cutoff=0.90 | size_total | drop_2020
  [31/120] strict | spend_public_safety | cutoff=0.90 | size_total_hi | full
  [32/120] strict | spend_public_safety | cutoff=0.90 | size_total_hi | drop_2020
  [33/120] strict | spend_police | cutoff=0.90 | size_total_hi | full
  [34/120] strict | spend_police | cutoff=0.90 | size_total_hi | drop_2020
  [35/120] strict | spend_welfare | cutoff=0.90 | size_total_hi | full
  [36/120] strict | spend_welfare | cutoff=0.90 | size_total_hi | drop_2020
  [37/120] strict | spend_education | cutoff=0.90 | size_total_hi | full
  [38/120] strict | spend_education | cutoff=0.90 | size_total_hi | drop_2020
  [39/120] strict | spend_highways | cutoff=0.90 | size_total_hi | full
  [40/120] strict | spend_highways | cutoff=0.90 | size_total_hi | drop_2020
